City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,northam,51.0333,-4.2167,51.62,96,100,13.44,GB,1667717821
152,mondlo,-27.983,30.7177,70.95,50,0,3.18,ZA,1667717824
153,mets parni,40.8334,44.1104,44.42,62,100,5.97,AM,1667717827
154,carnarvon,-24.8667,113.6333,70.84,67,58,20.2,AU,1667717829
155,sao raimundo nonato,-9.0153,-42.6994,70.59,96,100,3.6,BR,1667717832
156,dongkan,33.9997,119.8308,65.7,28,82,11.88,CN,1667717834
157,te anau,-45.4167,167.7167,53.51,69,0,5.55,NZ,1667717837
158,santa cruz cabralia,-16.2781,-39.0247,66.43,94,20,6.91,BR,1667717839
159,qaanaaq,77.484,-69.3632,4.01,78,100,5.75,GL,1667717842
160,nuevo progreso,23.1667,-97.95,73.47,65,2,3.49,MX,1667717844
161,fairbanks,64.8378,-147.7164,3.92,93,60,1.54,US,1667717732
162,ust-kuyga,70.0167,135.6,-1.3,98,100,5.68,RU,1667717849
163,bethel,41.3712,-73.414,66.36,84,100,10.56,US,1667717852
164,beloha,-25.1667,45.05,89.91,36,100,7.23,MG,1667717753
165,oga,46.4631,10.347,36.03,60,68,1.3,IT,1667717857
166,hami,42.8,93.45,59.5,15,13,0.31,CN,1667717711
167,arraial do cabo,-22.9661,-42.0278,67.33,74,23,6.98,BR,1667717861
168,talnakh,69.4865,88.3972,20.75,96,100,9.82,RU,1667717864
169,alyangula,-13.8483,136.4192,85.64,60,28,6.89,AU,1667717866
170,castro,-24.7911,-50.0119,45.16,97,83,5.17,BR,1667717588
171,birao,10.2849,22.7882,83.26,28,98,7.45,CF,1667717871
172,broome,42.2506,-75.833,69.53,79,100,17.0,US,1667717873
173,bloomingdale,27.8936,-82.2404,75.09,94,0,4.0,US,1667717876
174,victoria,22.2855,114.1577,73.33,85,96,15.01,HK,1667717803
175,wajir,1.7471,40.0573,78.76,73,75,6.91,KE,1667717881
176,saldanha,-33.0117,17.9442,65.93,74,0,6.31,ZA,1667717630
177,quang ngai,15.1167,108.8,78.78,80,68,10.8,VN,1667717885
178,puerto ayora,-0.7393,-90.3518,64.9,80,9,8.19,EC,1667717888
179,otjimbingwe,-22.35,16.1333,76.39,25,100,8.55,NA,1667717893
180,avarua,-21.2078,-159.775,73.45,73,0,6.91,CK,1667717895
181,celestun,20.8667,-90.4,76.42,85,22,12.12,MX,1667717836
182,san patricio,28.017,-97.5169,76.89,90,0,2.08,US,1667717900
183,saskylakh,71.9167,114.0833,-24.03,100,79,2.55,RU,1667717903
184,salihorsk,52.7876,27.5415,43.29,92,100,12.91,BY,1667717905
185,malanje,-9.5402,16.341,64.99,94,100,3.06,AO,1667717908
186,port lincoln,-34.7333,135.8667,71.31,52,7,6.96,AU,1667717910
187,aracatuba,-21.2089,-50.4328,61.25,63,22,11.99,BR,1667717913
188,pangkalanbuun,-2.6833,111.6167,78.64,91,100,4.38,ID,1667717698
189,komsomolskiy,40.4272,71.7189,56.12,76,100,4.61,UZ,1667717918
190,sioux lookout,50.1001,-91.917,23.07,93,0,4.61,CA,1667717920
191,warmbad,-28.45,18.7333,74.8,40,4,2.39,NA,1667717922
192,tuktoyaktuk,69.4541,-133.0374,7.39,90,100,15.35,CA,1667717925
193,coria,39.9879,-6.5377,42.46,67,14,2.57,ES,1667717927
194,cayenne,4.9333,-52.3333,73.44,100,20,2.3,GF,1667717930
195,bolgatanga,10.7856,-0.8514,78.19,39,48,4.18,GH,1667717932
196,dunedin,-45.8742,170.5036,52.81,77,55,4.0,NZ,1667717935
197,mayen,50.3333,7.2167,46.44,95,8,5.57,DE,1667717937
198,tiksi,71.6872,128.8694,3.4,90,100,16.75,RU,1667717940
199,banda aceh,5.5577,95.3222,81.55,75,84,7.16,ID,1667717576
200,smithers,54.7804,-127.1743,19.72,68,100,16.11,CA,1667717945
201,oranjemund,-28.55,16.4333,64.56,79,100,4.72,NA,1667717716
202,norman wells,65.282,-126.8329,6.84,72,100,17.27,CA,1667717949
203,wenling,28.3669,121.36,64.33,64,100,9.55,CN,1667717952
204,torbay,47.6666,-52.7314,53.28,93,75,9.22,CA,1667717954
205,upernavik,72.7868,-56.1549,18.73,87,100,10.42,GL,1667717957
206,ranot,7.7777,100.3213,80.1,81,100,2.13,TH,1667717959
207,nouadhibou,20.931,-17.0347,66.18,77,0,13.8,MR,1667717962
208,vilhena,-12.7406,-60.1458,63.88,64,26,1.72,BR,1667717964
209,palmer,42.1584,-72.3287,66.38,87,100,8.05,US,1667717967
210,ribeira grande,38.5167,-28.7,61.77,83,93,1.99,PT,1667717969
211,flinders,-34.5833,150.8552,70.05,74,72,9.04,AU,1667717972
212,anadyr,64.75,177.4833,34.3,80,0,8.95,RU,1667717974
213,camacha,33.0833,-16.3333,65.62,77,75,5.75,PT,1667717977
214,mafinga,-7.25,35.0667,82.02,35,45,6.08,TZ,1667717982
215,magdagachi,53.45,125.8,24.46,74,25,4.25,RU,1667717984
216,varnavino,57.4035,45.0916,30.07,76,45,4.72,RU,1667717987
217,ballina,-28.8667,153.5667,70.79,74,0,8.28,AU,1667717989
218,tuatapere,-46.1333,167.6833,53.46,71,1,4.97,NZ,1667717994
219,kuvshinovo,57.0295,34.1725,31.17,82,100,9.13,RU,1667717996
220,almeirim,-1.5233,-52.5817,74.41,94,100,0.22,BR,1667717999
221,airai,-8.9266,125.4092,71.98,66,85,3.0,TL,1667717487
222,akdepe,42.0551,59.3788,51.89,47,81,7.29,TM,1667717856
223,wanning,18.8003,110.3967,75.79,82,83,14.12,CN,1667718026
224,chokurdakh,70.6333,147.9167,4.71,96,100,7.99,RU,1667717522
225,haines junction,60.7522,-137.5108,5.9,90,100,4.92,CA,1667718032
226,khash,28.2211,61.2158,69.31,39,18,12.93,IR,1667718037
227,vitim,59.4511,112.5578,24.37,92,100,10.78,RU,1667718040
228,matara,5.9485,80.5353,83.05,68,100,5.55,LK,1667718043
229,mujiayingzi,42.1167,118.7833,52.25,23,43,9.48,CN,1667718045
230,coihaique,-45.5752,-72.0662,51.1,98,79,5.79,CL,1667718048
231,san cristobal,7.7669,-72.225,64.65,97,100,1.63,VE,1667718051
232,yangambi,0.8102,24.4336,73.56,86,99,3.4,CD,1667718053
233,neiafu,-18.65,-173.9833,77.83,73,9,17.67,TO,1667718056
234,fare,-16.7,-151.0167,74.37,92,100,22.95,PF,1667718058
235,mount pleasant,32.7941,-79.8626,73.98,95,100,4.61,US,1667717881
236,teknaf,20.8624,92.3058,84.42,60,0,8.1,BD,1667718064
237,katsuura,35.1333,140.3,61.77,63,53,11.03,JP,1667718067
238,tromso,69.6496,18.957,39.38,93,100,2.3,NO,1667718069
